
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear       Oil  NGCC-Old  NGCC-New  NGCT-Old      Wind
                    !  --------  --------  --------  --------  --------  --------
'2015-07-03 05:30:00'   700.000    19.200  1400.000  1351.830   337.500   278.306
'2015-07-03 05:45:00'   700.000    19.200  1400.000  1357.774   337.500   275.386
'2015-07-03 06:00:00'   700.000    19.200  1411.652  1512.377   337.500   272.000
'2015-07-03 06:15:00'   700.000    19.200  1466.566  1520.000   337.500   245.716
'2015-07-03 06:30:00'   700.000    19.200  1786.821  1610.752   337.500   185.187
'2015-07-03 06:45:00'   700.000    19.200  1820.000  1785.485   337.500   149.066
'2015-07-03 07:00:00'   700.000    19.200  1859.677  2000.000   337.500   114.000
'2015-07-03 07:15:00'   700.000    19.200  1883.730  1997.804   337.500    90.742
'2015-07-03 07:30:00'   700.000    19.200  2000.000  2000.000   483.152    72.784
'2015-07-03 07:45:00'   700.000    21.824  2000.000  2000.000   675.000    50.561
'2015-07-03 08:00:00'   700.000    48.000  2000.000  2000.000   675.000    33.000
'2015-07-03 08:15:00'   700.000    48.000  2000.000  2000.000   675.000    40.623
'2015-07-03 08:30:00'   700.000    48.000  2000.000  2000.000   675.000    51.174
'2015-07-03 08:45:00'   700.000    48.000  2000.000  2000.000   675.000    58.504
'2015-07-03 09:00:00'   700.000    48.000  2000.000  2000.000   675.000    69.000
'2015-07-03 09:15:00'   700.000    48.000  2000.000  2000.000   675.000    81.828
'2015-07-03 09:30:00'   700.000    48.000  2000.000  2000.000   675.000   102.390
'2015-07-03 09:45:00'   700.000    48.000  2000.000  2000.000   675.000   125.962
'2015-07-03 10:00:00'   700.000    48.000  2000.000  2000.000   675.000   135.000
'2015-07-03 10:15:00'   700.000    48.000  2000.000  2000.000   675.000   125.978
'2015-07-03 10:30:00'   700.000    48.000  2000.000  2000.000   675.000   140.866
'2015-07-03 10:45:00'   700.000    48.000  2000.000  2000.000   675.000   130.901
'2015-07-03 11:00:00'   700.000    48.000  2000.000  2000.000   675.000   126.000
'2015-07-03 11:15:00'   700.000    48.000  2000.000  2000.000   675.000   119.416
'2015-07-03 11:30:00'   700.000    48.000  2000.000  2000.000   675.000   101.920
'2015-07-03 11:45:00'   700.000    19.200  2000.000  2000.000   581.549    99.472
'2015-07-03 12:00:00'   700.000    29.697  2000.000  2000.000   675.000    90.000
'2015-07-03 12:15:00'   700.000    19.200  2000.000  2000.000   622.116   103.754
'2015-07-03 12:30:00'   700.000    19.200  2000.000  2000.000   668.982   121.448
'2015-07-03 12:45:00'   700.000    48.000  2000.000  2000.000   675.000   122.091
'2015-07-03 13:00:00'   700.000    19.200  2000.000  2000.000   586.334   132.000
'2015-07-03 13:15:00'   700.000    19.200  2000.000  2000.000   594.096   126.216
'2015-07-03 13:30:00'   700.000    19.200  2000.000  2000.000   475.796   124.785
'2015-07-03 13:45:00'   700.000    19.200  2000.000  2000.000   611.259   132.667
'2015-07-03 14:00:00'   700.000    19.200  2000.000  2000.000   473.162   130.000
'2015-07-03 14:15:00'   700.000    19.200  2000.000  2000.000   546.319   116.760
'2015-07-03 14:30:00'   700.000    19.200  2000.000  2000.000   442.540   103.213
'2015-07-03 14:45:00'   700.000    19.200  2000.000  2000.000   549.852    88.362
'2015-07-03 15:00:00'   700.000    19.200  2000.000  2000.000   403.570    83.000
'2015-07-03 15:15:00'   700.000    19.200  2000.000  2000.000   426.012    81.096
'2015-07-03 15:30:00'   700.000    19.200  2000.000  2000.000   561.157    78.592
'2015-07-03 15:45:00'   700.000    19.200  2000.000  2000.000   457.122    80.463
'2015-07-03 16:00:00'   700.000    19.200  2000.000  2000.000   514.298    86.000
'2015-07-03 16:15:00'   700.000    19.200  2000.000  2000.000   520.982    84.034
'2015-07-03 16:30:00'   700.000    19.200  2000.000  2000.000   547.494    86.612
'2015-07-03 16:45:00'   700.000    19.200  2000.000  2000.000   650.679    91.630
'2015-07-03 17:00:00'   700.000    19.200  2000.000  2000.000   618.082    99.000
'2015-07-03 17:15:00'   700.000    48.000  2000.000  2000.000   675.000   123.313
'2015-07-03 17:30:00'   700.000    19.200  2000.000  2000.000   649.689   145.669
'2015-07-03 17:45:00'   700.000    48.000  2000.000  2000.000   675.000   175.195
'2015-07-03 18:00:00'   700.000    48.000  2000.000  2000.000   675.000   194.000
'2015-07-03 18:15:00'   700.000    48.000  2000.000  2000.000   675.000   230.771
'2015-07-03 18:30:00'   700.000    19.200  2000.000  2000.000   565.578   251.437
'2015-07-03 18:45:00'   700.000    19.200  2000.000  2000.000   606.692   280.002
'2015-07-03 19:00:00'   700.000    48.000  2000.000  2000.000   675.000   322.000
'2015-07-03 19:15:00'   700.000    48.000  2000.000  2000.000   675.000   347.125
'2015-07-03 19:30:00'   700.000    19.200  2000.000  2000.000   657.594   361.614
'2015-07-03 19:45:00'   700.000    19.200  2000.000  2000.000   657.412   387.148
'2015-07-03 20:00:00'   700.000    19.200  2000.000  2000.000   538.314   424.000
'2015-07-03 20:15:00'   700.000    19.200  2000.000  2000.000   573.957   476.518
'2015-07-03 20:30:00'   700.000    19.200  1978.761  2000.000   337.500   489.018
'2015-07-03 20:45:00'   700.000    19.200  1879.729  1863.075   337.500   540.745
'2015-07-03 21:00:00'   700.000    19.200  1851.879  1835.460   337.500   583.000
'2015-07-03 21:15:00'   700.000    19.200  1841.507  1710.364   337.500   604.417
'2015-07-03 21:30:00'   700.000    19.200  1737.408  1663.477   337.500   604.259
'2015-07-03 21:45:00'   700.000    19.200  1581.725  1544.958   337.500   623.125
'2015-07-03 22:00:00'   700.000    19.200  1440.222  1520.000   337.500   717.000
'2015-07-03 22:15:00'   700.000    19.200  1400.000  1312.634   337.500   709.487
'2015-07-03 22:30:00'   700.000    19.200  1400.000  1229.062   337.500   764.254
'2015-07-03 22:45:00'   700.000    19.200  1400.000  1109.364   337.500   755.451
'2015-07-03 23:00:00'   700.000    19.200  1400.000   915.028   337.500   780.000
'2015-07-03 23:15:00'   700.000    19.200  1400.000   837.439   337.500   811.082
'2015-07-03 23:30:00'   700.000    19.200  1400.000   801.103   337.500   783.965
'2015-07-03 23:45:00'   552.697    19.200  1400.000   800.000   337.500   791.489
