
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear      Coal       Oil  NGCC-New      Wind     Solar
                    !  --------  --------  --------  --------  --------  --------
'2015-07-01 21:25:00'   400.000   383.000   400.000  1975.780  2057.476          
'2015-07-01 21:30:00'   400.000   383.000   400.000  1880.489  2056.117          
'2015-07-01 21:35:00'   400.000   383.000   400.000  1590.249  2121.213          
'2015-07-01 21:40:00'   400.000   383.000   400.000  1662.564  2132.022          
'2015-07-01 21:45:00'   400.000   383.000   400.000  1681.297  2152.307          
'2015-07-01 21:50:00'   400.000   383.000   400.000  1523.996  2124.343          
'2015-07-01 21:55:00'   400.000   383.000   400.000  1572.659  2144.727          
'2015-07-01 22:00:00'   400.000   383.000   400.000  1496.007  2154.000          
'2015-07-01 22:05:00'   400.000   383.000   400.000  1281.358  2171.548          
'2015-07-01 22:10:00'   400.000   383.000   400.000  1417.377  2135.344          
'2015-07-01 22:15:00'   400.000   383.000   400.000  1357.918  2216.322          
'2015-07-01 22:20:00'   400.000   383.000   400.000  1438.600  2119.358          
'2015-07-01 22:25:00'   400.000   383.000   400.000  1121.742  2167.731          
'2015-07-01 22:30:00'   400.000   383.000   400.000  1119.094  2155.262          
'2015-07-01 22:35:00'   400.000   383.000   400.000  1148.835  2154.567          
'2015-07-01 22:40:00'   400.000   383.000   400.000  1044.532  2143.497          
'2015-07-01 22:45:00'   400.000   383.000   400.000  1084.980  2207.660          
'2015-07-01 22:50:00'   400.000   383.000   400.000   784.243  2263.645          
'2015-07-01 22:55:00'   400.000   383.000   400.000   692.823  2203.715          
'2015-07-01 23:00:00'   400.000   383.000   400.000   868.881  2177.000          
'2015-07-01 23:05:00'   400.000   383.000   400.000   892.572  2180.365          
'2015-07-01 23:10:00'   400.000   383.000   400.000   935.531  2094.755          
'2015-07-01 23:15:00'   400.000   383.000   400.000   826.670  2144.017          
'2015-07-01 23:20:00'   400.000   383.000   400.000   782.162  2134.280          
'2015-07-01 23:25:00'   400.000   383.000   400.000   715.204  2127.992          
'2015-07-01 23:30:00'   400.000   383.000   400.000   854.269  2015.926          
'2015-07-01 23:35:00'   400.000   383.000   400.000   773.029  2045.801          
'2015-07-01 23:40:00'   400.000   383.000   400.000   688.863  2065.472          
'2015-07-01 23:45:00'   400.000   383.000   400.000   777.932  1998.176          
'2015-07-01 23:50:00'   400.000   383.000   400.000   715.155  1959.564          
'2015-07-01 23:55:00'   400.000   383.000   400.000   586.486  2030.620          
'2015-07-02 00:00:00'   400.000   383.000   400.000   545.320  2000.000          
'2015-07-02 00:05:00'   400.000   383.000   400.000   287.113  2133.341          
'2015-07-02 00:10:00'   400.000   383.000   400.000   520.994  1946.968          
'2015-07-02 00:15:00'   400.000   383.000   400.000   567.563  1916.202          
'2015-07-02 00:20:00'   400.000   383.000   400.000   573.128  1882.395          
'2015-07-02 00:25:00'   400.000   383.000   400.000   666.372  1868.308          
'2015-07-02 00:30:00'   400.000   383.000   400.000   658.350  1872.067          
'2015-07-02 00:35:00'   400.000   383.000   400.000   597.228  1953.962          
'2015-07-02 00:40:00'   400.000   383.000   400.000   621.216  1893.944          
'2015-07-02 00:45:00'   400.000   383.000   400.000   711.039  1816.589          
'2015-07-02 00:50:00'   400.000   383.000   400.000   711.199  1854.798          
'2015-07-02 00:55:00'   400.000   383.000   400.000   581.579  1803.344          
'2015-07-02 01:00:00'   400.000   383.000   400.000   693.140  1793.000          
'2015-07-02 01:05:00'   400.000   383.000   400.000   578.709  1778.794          
'2015-07-02 01:10:00'   400.000   383.000   400.000   723.186  1760.455          
'2015-07-02 01:15:00'   400.000   383.000   400.000   738.748  1698.788          
'2015-07-02 01:20:00'   400.000   383.000   400.000   720.624  1745.526          
'2015-07-02 01:25:00'   400.000   383.000   400.000   679.197  1718.176          
'2015-07-02 01:30:00'   400.000   383.000   400.000   635.294  1712.603          
'2015-07-02 01:35:00'   400.000   383.000   400.000   910.321  1614.325          
'2015-07-02 01:40:00'   400.000   383.000   400.000   757.582  1664.270          
'2015-07-02 01:45:00'   400.000   383.000   400.000   784.551  1619.992          
'2015-07-02 01:50:00'   400.000   383.000   400.000   852.712  1643.115          
'2015-07-02 01:55:00'   400.000   383.000   400.000   818.323  1529.376          
'2015-07-02 02:00:00'   400.000   383.000   400.000   769.781  1598.000          
'2015-07-02 02:05:00'   400.000   383.000   400.000   828.970  1558.725          
'2015-07-02 02:10:00'   400.000   383.000   400.000   705.595  1599.199          
'2015-07-02 02:15:00'   400.000   383.000   400.000   696.033  1563.048          
'2015-07-02 02:20:00'   400.000   383.000   400.000   796.443  1539.710          
'2015-07-02 02:25:00'   400.000   383.000   400.000   684.524  1585.573          
'2015-07-02 02:30:00'   400.000   383.000   400.000   867.618  1480.074          
'2015-07-02 02:35:00'   400.000   383.000   400.000   724.989  1542.068          
'2015-07-02 02:40:00'   400.000   383.000   400.000   839.109  1501.077          
'2015-07-02 02:45:00'   400.000   383.000   400.000   790.027  1473.447          
'2015-07-02 02:50:00'   400.000   383.000   400.000   873.095  1468.192          
'2015-07-02 02:55:00'   400.000   383.000   400.000   783.049  1451.380          
'2015-07-02 03:00:00'   400.000   383.000   400.000   820.421  1429.000          
'2015-07-02 03:05:00'   400.000   383.000   400.000   935.002  1402.701          
'2015-07-02 03:10:00'   400.000   383.000   400.000   850.776  1379.422          
'2015-07-02 03:15:00'   400.000   383.000   400.000   858.173  1389.594          
'2015-07-02 03:20:00'   400.000   383.000   400.000   834.192  1350.565          
'2015-07-02 03:25:00'   400.000   383.000   400.000  1030.139  1315.906          
'2015-07-02 03:30:00'   400.000   383.000   400.000   914.205  1321.835          
'2015-07-02 03:35:00'   400.000   383.000   400.000  1052.435  1258.793          
'2015-07-02 03:40:00'   400.000   383.000   400.000  1047.054  1233.865          
'2015-07-02 03:45:00'   400.000   383.000   400.000   982.760  1251.028          
'2015-07-02 03:50:00'   400.000   383.000   400.000  1177.557  1189.342          
'2015-07-02 03:55:00'   400.000   383.000   400.000  1171.032  1201.011          
'2015-07-02 04:00:00'   400.000   383.000   400.000  1148.601  1160.000          
'2015-07-02 04:05:00'   400.000   383.000   400.000  1244.523  1139.519          
'2015-07-02 04:10:00'   400.000   383.000   400.000  1135.228  1150.574          
'2015-07-02 04:15:00'   400.000   383.000   400.000  1208.036  1161.240          
'2015-07-02 04:20:00'   400.000   383.000   400.000  1268.867  1086.762          
'2015-07-02 04:25:00'   400.000   383.000   400.000  1352.635  1093.899          
'2015-07-02 04:30:00'   400.000   383.000   400.000  1320.592  1067.240          
'2015-07-02 04:35:00'   400.000   383.000   400.000  1446.810  1036.314          
'2015-07-02 04:40:00'   400.000   383.000   400.000  1606.121  1044.278          
'2015-07-02 04:45:00'   400.000   383.000   400.000  1431.766  1114.245          
'2015-07-02 04:50:00'   400.000   383.000   400.000  1532.058  1018.668          
'2015-07-02 04:55:00'   400.000   383.000   400.000  1511.266  1001.586          
