
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear       Oil  NGCC-Old  NGCC-New  NGCT-Old      Wind
                    !  --------  --------  --------  --------  --------  --------
'2015-07-02 16:15:00'   700.000    19.200  2000.000  2000.000   430.549   134.811
'2015-07-02 16:30:00'   700.000    19.200  2000.000  2000.000   391.633   129.261
'2015-07-02 16:45:00'   700.000    19.200  2000.000  2000.000   468.399   140.945
'2015-07-02 17:00:00'   700.000    19.200  2000.000  2000.000   589.331   136.000
'2015-07-02 17:15:00'   700.000    19.200  2000.000  2000.000   643.256   145.756
'2015-07-02 17:30:00'   700.000    19.200  2000.000  2000.000   587.609   170.170
'2015-07-02 17:45:00'   700.000    48.000  2000.000  2000.000   675.000   207.970
'2015-07-02 18:00:00'   700.000    48.000  2000.000  2000.000   675.000   210.000
'2015-07-02 18:15:00'   700.000    48.000  2000.000  2000.000   675.000   258.111
'2015-07-02 18:30:00'   700.000    19.200  2000.000  2000.000   620.029   271.680
'2015-07-02 18:45:00'   700.000    48.000  2000.000  2000.000   675.000   301.973
'2015-07-02 19:00:00'   700.000    48.000  2000.000  2000.000   675.000   354.000
'2015-07-02 19:15:00'   700.000    19.200  2000.000  2000.000   499.433   388.954
'2015-07-02 19:30:00'   700.000    19.200  2000.000  2000.000   460.886   453.369
'2015-07-02 19:45:00'   700.000    19.200  2000.000  2000.000   502.005   477.933
'2015-07-02 20:00:00'   700.000    19.200  2000.000  2000.000   426.049   536.000
'2015-07-02 20:15:00'   700.000    19.200  2000.000  2000.000   372.812   493.971
'2015-07-02 20:30:00'   700.000    19.200  2000.000  2000.000   464.620   456.384
'2015-07-02 20:45:00'   700.000    19.200  1791.249  2000.000   337.500   448.866
'2015-07-02 21:00:00'   700.000    19.200  1870.471  2000.000   337.500   399.000
'2015-07-02 21:15:00'   700.000    19.200  1636.346  2000.000   337.500   387.244
'2015-07-02 21:30:00'   700.000    19.200  1594.831  2000.000   337.500   437.808
'2015-07-02 21:45:00'   700.000    19.200  1589.145  2000.000   337.500   406.872
'2015-07-02 22:00:00'   700.000    19.200  1400.000  1882.674   337.500   395.000
'2015-07-02 22:15:00'   700.000    19.200  1400.000  1705.151   337.500   405.759
'2015-07-02 22:30:00'   700.000    19.200  1400.000  1479.308   337.500   451.142
'2015-07-02 22:45:00'   700.000    19.200  1400.000  1499.662   337.500   459.830
'2015-07-02 23:00:00'   700.000    19.200  1400.000  1214.878   337.500   471.000
'2015-07-02 23:15:00'   700.000    19.200  1400.000   967.771   337.500   500.812
'2015-07-02 23:30:00'   700.000    19.200  1400.000   995.425   337.500   460.775
'2015-07-02 23:45:00'   700.000    19.200  1400.000   926.365   337.500   516.456
'2015-07-03 00:00:00'   584.947    19.200  1400.000   800.000   337.500   509.000
'2015-07-03 00:15:00'   544.728    19.200  1400.000   800.000   337.500   493.102
'2015-07-03 00:30:00'   538.637    19.200  1400.000   800.000   337.500   474.035
'2015-07-03 00:45:00'   644.797    19.200  1400.000   800.000   337.500   418.693
'2015-07-03 01:00:00'   635.000    19.200  1400.000   800.000   337.500   401.000
'2015-07-03 01:15:00'   657.415    19.200  1400.000   800.000   337.500   412.735
'2015-07-03 01:30:00'   694.386    19.200  1400.000   800.000   337.500   367.488
'2015-07-03 01:45:00'   604.339    19.200  1400.000   800.000   337.500   354.184
'2015-07-03 02:00:00'   563.106    19.200  1400.000   800.000   337.500   357.000
'2015-07-03 02:15:00'   478.033    19.200  1400.000   800.000   337.500   372.230
'2015-07-03 02:30:00'   385.676    19.200  1400.000   800.000   337.500   391.944
'2015-07-03 02:45:00'   404.528    19.200  1400.000   800.000   337.500   422.200
'2015-07-03 03:00:00'   391.213    19.200  1400.000   800.000   337.500   413.000
'2015-07-03 03:15:00'   370.127    19.200  1400.000   800.000   337.500   399.248
'2015-07-03 03:30:00'   444.107    19.200  1400.000   800.000   337.500   369.991
