
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear      Coal       Oil  NGCC-New      Wind     Solar
                    !  --------  --------  --------  --------  --------  --------
'2015-07-01 15:50:00'   400.000   383.000   400.000  2949.734   773.639   630.683
'2015-07-01 15:55:00'   400.000   383.000   400.000  2793.252   770.791   597.355
'2015-07-01 16:00:00'   400.000   383.000   400.000  2903.133   757.000   594.000
'2015-07-01 16:05:00'   400.000   383.000   400.000  2938.243   785.272   594.525
'2015-07-01 16:10:00'   400.000   383.000   400.000  2892.750   788.846   558.616
'2015-07-01 16:15:00'   400.000   383.000   400.000  2860.134   774.669   553.992
'2015-07-01 16:20:00'   400.000   383.000   400.000  2967.093   762.031   534.018
'2015-07-01 16:25:00'   400.000   383.000   400.000  3092.004   776.450   532.253
'2015-07-01 16:30:00'   400.000   383.000   400.000  3030.665   772.485   509.378
'2015-07-01 16:35:00'   400.000   383.000   400.000  2990.469   792.362   474.825
'2015-07-01 16:40:00'   400.000   383.000   400.000  3079.545   769.945   482.844
'2015-07-01 16:45:00'   400.000   383.000   400.000  3064.386   798.561   457.559
'2015-07-01 16:50:00'   400.000   383.000   400.000  3124.592   798.408   472.297
'2015-07-01 16:55:00'   400.000   383.000   400.000  3102.197   810.013   437.482
'2015-07-01 17:00:00'   400.000   383.000   400.000  3143.958   809.000   422.000
'2015-07-01 17:05:00'   400.000   383.000   400.000  3043.408   819.058   403.758
'2015-07-01 17:10:00'   400.000   383.000   400.000  3253.907   853.264   399.187
'2015-07-01 17:15:00'   400.000   383.000   400.000  3270.204   830.156   395.249
'2015-07-01 17:20:00'   400.000   383.000   400.000  3213.734   853.427   343.072
'2015-07-01 17:25:00'   400.000   383.000   400.000  3390.256   857.936   359.135
'2015-07-01 17:30:00'   400.000   383.000   400.000  3299.132   883.087   342.244
'2015-07-01 17:35:00'   400.000   383.000   400.000  3207.473   902.614   298.768
'2015-07-01 17:40:00'   400.000   383.000   400.000  3474.049   914.268   289.983
'2015-07-01 17:45:00'   400.000   383.000   400.000  3331.363   931.919   295.904
'2015-07-01 17:50:00'   400.000   383.000   400.000  3467.585   920.534   282.514
'2015-07-01 17:55:00'   400.000   383.000   400.000  3477.900   886.043   257.704
'2015-07-01 18:00:00'   400.000   383.000   400.000  3410.609   964.000   242.000
'2015-07-01 18:05:00'   400.000   383.000   400.000  3223.223  1010.503   221.059
'2015-07-01 18:10:00'   400.000   383.000   400.000  3413.571  1004.722   211.514
'2015-07-01 18:15:00'   400.000   383.000   400.000  3316.392  1064.049   200.006
'2015-07-01 18:20:00'   400.000   383.000   400.000  3294.054  1112.909   187.742
'2015-07-01 18:25:00'   400.000   383.000   400.000  3340.040  1202.187   170.724
'2015-07-01 18:30:00'   400.000   383.000   400.000  3349.886  1200.127   162.994
'2015-07-01 18:35:00'   400.000   383.000   400.000  3288.924  1259.141   145.788
'2015-07-01 18:40:00'   400.000   383.000   400.000  3285.549  1294.772   127.307
'2015-07-01 18:45:00'   400.000   383.000   400.000  3215.606  1342.062   112.167
'2015-07-01 18:50:00'   400.000   383.000   400.000  3280.404  1369.272   105.352
'2015-07-01 18:55:00'   400.000   383.000   400.000  3311.501  1387.179    91.973
'2015-07-01 19:00:00'   400.000   383.000   400.000  3185.434  1476.000    76.000
'2015-07-01 19:05:00'   400.000   383.000   400.000  3101.522  1525.015    69.061
'2015-07-01 19:10:00'   400.000   383.000   400.000  3272.035  1530.624    62.942
'2015-07-01 19:15:00'   400.000   383.000   400.000  2696.905  1668.964    59.623
'2015-07-01 19:20:00'   400.000   383.000   400.000  2805.718  1692.469    56.550
'2015-07-01 19:25:00'   400.000   383.000   400.000  2865.230  1699.049    48.515
